B000474,B000563,B000570,B000739,B000929,B001133,B001186,C000009,C000572,E000147,F000313,F000368,G000286,G000526,H000508,H000618,H000841,H000982,J000017,K000212,L000067,L000115,L000120,L000364,M000155,M000166,M000226,P000026,P000473,R000092,R000350,R000448,R000550,S000222,S000941,S001009,T000052,T000107,T000264,T000348,T000389,V000104,W000114,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,Nay,Nay,,,,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Not Voting,,1795-06-13,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,Nay,Nay,,,,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,,,Nay,,Yea,,,Nay,Nay,,1795-06-18,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,Nay,Nay,,,,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Nay,,1795-06-23,0,,unknown,,,,,
Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Yea,,,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,,Yea,,,Yea,Yea,,1795-06-23,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,Nay,Not Voting,,,,Yea,Nay,Yea,Not Voting,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Not Voting,,1795-06-24,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,Nay,Not Voting,,,,Yea,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Nay,,1795-06-24,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Nay,Yea,,Yea,Yea,Yea,,Yea,Yea,,,,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,,Yea,,Nay,,,Yea,Yea,,1795-06-24,0,,unknown,,,,,
Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,,Nay,,,Yea,Yea,,1795-06-25,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Not Voting,,Nay,Not Voting,,,,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Nay,,1795-06-25,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Nay,Yea,,Yea,Yea,Yea,,Yea,Not Voting,,,,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,,Yea,,Nay,,,Yea,Yea,,1795-06-25,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,,Yea,Not Voting,,,,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,,Yea,,Nay,,,Yea,Yea,,1795-06-25,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,Yea,Not Voting,,,,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Nay,,1795-06-25,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Nay,Yea,,Yea,Yea,Not Voting,,Yea,Not Voting,,,,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,,,Yea,,Nay,,,Yea,Not Voting,,1795-06-26,0,,unknown,,,,,
Yea,Yea,,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,,Yea,Not Voting,,,,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,,,Yea,,Nay,,,Yea,Not Voting,,1795-06-26,0,,unknown,,,,,
Nay,Yea,,Not Voting,Yea,Not Voting,Yea,Nay,,Nay,Nay,Nay,,Not Voting,Not Voting,,,,Not Voting,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,,,Nay,,Yea,,,Nay,Not Voting,,1795-12-11,0,,unknown,,,,,
Nay,Yea,,Not Voting,Nay,Not Voting,Yea,Nay,,Nay,Nay,Nay,,Not Voting,Not Voting,,,,,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,,,Nay,,Yea,,,Nay,Not Voting,,1795-12-11,0,,unknown,,,,,
Yea,Nay,,Not Voting,Nay,Not Voting,Nay,Yea,,Yea,Yea,Yea,,Not Voting,Not Voting,,,,,Yea,Nay,Yea,,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,,,Yea,,Nay,,,Yea,Not Voting,,1795-12-11,0,,unknown,,,,,
Nay,Yea,,Not Voting,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,,Not Voting,Not Voting,,,,,Nay,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Not Voting,,1795-12-15,0,,unknown,,,,,
Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Yea,,,,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,,Yea,,Yea,,,Yea,Yea,Yea,1795-12-22,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Nay,Yea,,Yea,Yea,Not Voting,,Yea,Not Voting,,,,,Not Voting,Nay,Yea,,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,,,Yea,,Nay,,,Yea,Not Voting,Yea,1796-01-06,0,,unknown,,,,,
Nay,Yea,,Nay,Nay,Yea,Yea,Nay,,Yea,Not Voting,Yea,,Not Voting,Nay,,,,,Not Voting,Yea,Nay,,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,,,Nay,,Not Voting,,,Nay,Not Voting,Nay,1796-01-19,0,,unknown,,,,,
Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,,Yea,Yea,,,,,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,,,Yea,,Nay,,,Yea,Yea,Yea,1796-03-01,0,,unknown,,,,,
Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,,Yea,Yea,,,,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,,Yea,,Yea,,,Yea,Yea,Yea,1796-03-02,0,,unknown,,,,,
Nay,Yea,,Nay,Nay,Not Voting,Yea,Nay,,Nay,Nay,Not Voting,,Nay,Yea,,,,,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Yea,Nay,1796-03-02,0,,unknown,,,,,
Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,,Yea,Yea,,,,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,,Yea,,Yea,,,Yea,Yea,Yea,1796-03-03,0,,unknown,,,,,
Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,,Not Voting,Yea,,,,,Yea,Yea,Yea,,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,,Yea,,Yea,,,Yea,Yea,Yea,1796-03-03,0,,unknown,,,,,
Yea,Yea,,Yea,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,Not Voting,,Yea,Yea,,,,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,,,Yea,,Not Voting,,,Yea,Yea,Yea,1796-03-04,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Not Voting,Nay,,,Nay,Nay,,Nay,Nay,,,,,Not Voting,Yea,Nay,,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Nay,Not Voting,1796-03-21,0,,unknown,,,,,
Nay,Yea,,Nay,Not Voting,Yea,Not Voting,Nay,,,Nay,Nay,,Nay,Nay,,,,,Not Voting,Yea,Nay,,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,,,Nay,,Yea,,,Nay,Nay,Not Voting,1796-03-22,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Not Voting,Yea,,,Yea,Yea,,Yea,Yea,,,,,Not Voting,Nay,Yea,,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,,,Yea,,Nay,,,Yea,Yea,Not Voting,1796-03-22,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Not Voting,Yea,Nay,,,Nay,Not Voting,,Nay,Nay,,,,,Nay,Not Voting,Nay,,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,,,Nay,,Yea,,,Nay,Not Voting,Not Voting,1796-04-01,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Nay,Yea,,,Yea,Not Voting,,Yea,Not Voting,,,,,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,,,Yea,,Nay,,,Yea,Not Voting,Not Voting,1796-04-07,0,,unknown,,,,,
Nay,Yea,,Yea,Nay,Yea,Not Voting,Yea,,,Yea,Yea,,Yea,Nay,,,,,Yea,Not Voting,Not Voting,,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,,,Yea,Not Voting,Nay,,,Yea,Not Voting,Nay,1796-04-12,0,,unknown,,,,,
Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,,,Nay,Nay,,Yea,Yea,,,,,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,,,Nay,Yea,Nay,,,Nay,Not Voting,,1796-04-12,0,,unknown,,,,,
Yea,Yea,,Nay,Yea,Yea,Not Voting,Nay,,,Nay,Yea,,Yea,Yea,,,,,Nay,Nay,Not Voting,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,,Nay,Yea,Nay,,,Nay,Not Voting,,1796-04-12,0,,unknown,,,,,
Nay,Nay,,Yea,Nay,Nay,Yea,Yea,,,Yea,Nay,,Nay,Yea,,,,,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,,Yea,Nay,Nay,,,Yea,Not Voting,,1796-04-13,0,,unknown,,,,,
Yea,Yea,,Nay,Yea,Yea,Nay,Nay,,,Nay,Yea,,Yea,Yea,,,,,Nay,Nay,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,,Nay,Yea,Nay,,,Nay,Not Voting,,1796-04-13,0,,unknown,,,,,
Not Voting,Yea,,Nay,Not Voting,Yea,Yea,Nay,,,Nay,Nay,,Nay,Nay,,,,,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,,Not Voting,Nay,Not Voting,,,Nay,Not Voting,,1796-04-19,0,,unknown,,,,,
Yea,Nay,,Nay,Nay,Nay,Nay,Yea,,,Yea,Yea,,Yea,Nay,,,,,Yea,Not Voting,Yea,,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,,,Not Voting,Nay,Nay,,,Yea,Not Voting,,1796-04-25,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Not Voting,Nay,Yea,,,Yea,Yea,,Yea,Nay,,,,,Yea,Not Voting,Yea,,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,,,Not Voting,Nay,Nay,,,Yea,Not Voting,,1796-04-26,0,,unknown,,,,,
Yea,Not Voting,,Nay,Nay,Nay,Not Voting,Nay,,,Not Voting,Yea,,Not Voting,Nay,,,,,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,,,Not Voting,Nay,Nay,,,Nay,Not Voting,,1796-05-03,0,,unknown,,,,,
Yea,Nay,,Nay,Nay,Yea,Yea,Nay,,,Nay,Yea,,Not Voting,Nay,,,,,Nay,Not Voting,Yea,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,,,Not Voting,Nay,Nay,,,Nay,Not Voting,,1796-05-03,0,,unknown,,,,,
Yea,Nay,,Nay,Nay,Not Voting,Yea,Nay,,,Nay,Yea,,Yea,Nay,,,,,Yea,Not Voting,Yea,,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,,,Not Voting,Nay,Nay,,,Nay,Not Voting,,1796-05-03,0,,unknown,,,,,
Nay,Yea,,Yea,Yea,Nay,Not Voting,Yea,,,Yea,Nay,,Yea,Yea,,,,,Yea,Not Voting,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Nay,,,Not Voting,Yea,Yea,,,Yea,Not Voting,,1796-05-04,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Yea,Not Voting,Yea,,,Yea,Nay,,Yea,Nay,,,,,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,,Nay,Nay,Nay,,,Nay,Not Voting,,1796-05-06,0,,unknown,,,,,
Yea,Yea,,Yea,Nay,Nay,Not Voting,Yea,,,Yea,Yea,,Yea,Yea,,,,,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,,,Yea,Yea,Nay,,,Yea,Not Voting,,1796-05-09,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,,Not Voting,Not Voting,,Yea,Yea,,,,,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,,,Nay,Yea,Yea,,,Nay,Not Voting,,1796-05-14,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,,Nay,Not Voting,,Yea,Nay,,,,,Nay,Yea,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,,,Nay,Nay,Yea,,,Nay,Not Voting,,1796-05-14,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Nay,Yea,,,Yea,Not Voting,,Nay,Yea,,,,,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,,,Yea,Not Voting,Nay,,,Yea,Not Voting,,1796-05-14,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,,Nay,Not Voting,,Nay,Yea,,,,,Nay,Yea,Nay,,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,,,Nay,Yea,Yea,,,Nay,Not Voting,,1796-05-14,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,,Nay,Not Voting,,Nay,Yea,,,,,Nay,Yea,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,,,Nay,Nay,Yea,,,Nay,Not Voting,,1796-05-16,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Nay,,,Nay,Not Voting,,Nay,Yea,,,,,Nay,Yea,Nay,,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,,,Nay,Nay,Yea,,,Nay,Not Voting,,1796-05-16,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Nay,Yea,,,Yea,Not Voting,,Yea,Nay,,,,,Yea,Nay,Yea,,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,,,Yea,Nay,Nay,,,Yea,Not Voting,,1796-05-16,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Not Voting,Nay,Yea,,,Not Voting,Not Voting,,Yea,Nay,,,,,Not Voting,Nay,Yea,,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,,,Yea,Nay,Nay,,,Yea,Not Voting,,1796-05-17,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Yea,Nay,Yea,,,Nay,Not Voting,,Yea,Nay,,,,,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,,,Yea,Yea,Nay,,,Yea,Not Voting,,1796-05-17,0,,unknown,,,,,
Yea,Not Voting,,Nay,Yea,Yea,Nay,Nay,,,Nay,Not Voting,,Nay,Yea,,,,,Nay,Yea,Yea,,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,,,Nay,Yea,Yea,,,Nay,Not Voting,,1796-05-17,0,,unknown,,,,,
Not Voting,Yea,,Nay,Yea,Nay,Yea,Not Voting,,,Yea,Not Voting,,Nay,Yea,,,,,Nay,Yea,Nay,,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,,Yea,Nay,Yea,,,Nay,Not Voting,,1796-05-20,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Not Voting,Not Voting,,,Nay,Not Voting,,Nay,Nay,,,,,,Not Voting,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,,,Nay,Yea,Yea,,,Nay,Not Voting,,1796-05-20,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Not Voting,,,Yea,Not Voting,,Nay,Yea,,,,,,Yea,Nay,,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,,,Nay,Yea,Yea,,,Nay,Not Voting,,1796-05-23,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Not Voting,,,Nay,Not Voting,,Nay,Yea,,,,,,Yea,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,,,Nay,Yea,Yea,,,Nay,Not Voting,,1796-05-25,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Not Voting,,,Nay,Not Voting,,Nay,Yea,,,,,,Yea,Nay,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,,,Nay,Yea,Yea,,,Nay,Not Voting,,1796-05-26,0,,unknown,,,,,
Nay,Nay,,Nay,Nay,Yea,Not Voting,Not Voting,,,Yea,Not Voting,,Yea,Yea,,,,,,Nay,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,,,Nay,Yea,Nay,,,Yea,Not Voting,,1796-05-26,0,,unknown,,,,,
Yea,Nay,,Yea,Yea,Nay,Nay,Not Voting,,,Yea,Not Voting,,Yea,Nay,,,,,,Nay,Yea,,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,,,Yea,Nay,Yea,,,Yea,Not Voting,,1796-05-26,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Nay,Not Voting,,,Yea,Not Voting,,Nay,Nay,,,,,,Nay,Yea,,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,,,Yea,Not Voting,Nay,,,Yea,Not Voting,,1796-05-31,0,,unknown,,,,,
Yea,Yea,,Yea,Nay,Nay,Nay,Not Voting,,,Yea,Not Voting,,Not Voting,Not Voting,,,,,,Nay,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,,Yea,Yea,Nay,,,Yea,Not Voting,,1796-06-01,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Yea,Yea,Not Voting,,,Nay,Not Voting,,Yea,Not Voting,,,,,,Yea,Nay,,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,,,Not Voting,Not Voting,Yea,,,Nay,Not Voting,,1796-06-01,0,,unknown,,,,,
Not Voting,Yea,Yea,Yea,Yea,Yea,,,Yea,,Yea,,Yea,Not Voting,Yea,Yea,Yea,,,,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,,Not Voting,,1797-01-16,0,,unknown,,,,,
Nay,Yea,Not Voting,Nay,Nay,Yea,,,Yea,,Nay,,Nay,Not Voting,Yea,Nay,Not Voting,,,,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,,Nay,,Nay,Not Voting,Nay,Nay,,Yea,Yea,Nay,Nay,,Yea,,1797-01-18,0,,unknown,,,,,
Yea,Yea,Not Voting,Yea,Yea,Not Voting,,,Not Voting,,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,,,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,,Not Voting,Nay,Yea,Yea,,Yea,,1797-01-31,0,,unknown,,,,,
Nay,Yea,Nay,Yea,Nay,Not Voting,,,Yea,,Nay,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,Nay,,Yea,Not Voting,Nay,Nay,,Not Voting,Yea,Nay,Not Voting,,Nay,,1797-02-06,0,,unknown,,,,,
Yea,Nay,Nay,Yea,Yea,Not Voting,,,Nay,,Yea,,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,,Yea,,1797-02-06,0,,unknown,,,,,
Yea,Nay,Nay,Nay,Nay,Not Voting,,,Nay,,Yea,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Nay,,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Not Voting,,Yea,,1797-02-06,0,,unknown,,,,,
Yea,Nay,Nay,Yea,Nay,Not Voting,,,Nay,,Yea,,Yea,Not Voting,Not Voting,Yea,Nay,Nay,,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,,Yea,,1797-02-06,0,,unknown,,,,,
Nay,Yea,Yea,Nay,Yea,Nay,,,Yea,,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,,,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,,Nay,,1797-02-17,0,,unknown,,,,,
Yea,Nay,Nay,Nay,Nay,Nay,,,Nay,,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,,Yea,,1797-02-20,0,,unknown,,,,,
Yea,Yea,Yea,Yea,Yea,Not Voting,,,Nay,,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,,1797-02-21,0,,unknown,,,,,
Yea,Nay,Not Voting,Yea,Nay,Not Voting,,,Nay,,Yea,,Yea,Nay,Yea,Yea,Yea,Not Voting,,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,,Yea,,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,,Yea,,1797-02-28,0,,unknown,,,,,
Yea,Nay,Nay,Nay,Yea,Nay,,,Nay,,Yea,,Nay,Yea,Yea,Yea,Nay,Not Voting,,,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Not Voting,,Nay,,1797-02-28,0,,unknown,,,,,
Nay,Yea,Yea,Nay,Yea,Nay,,,Yea,,Yea,,Nay,Nay,Yea,Nay,Nay,Not Voting,,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Yea,,Yea,,1797-03-01,0,,unknown,,,,,
Yea,Nay,Nay,Nay,Nay,Nay,,,Nay,,Yea,,Yea,Nay,Nay,Not Voting,Nay,Not Voting,,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,,Yea,,1797-03-01,0,,unknown,,,,,
Nay,Yea,Yea,Nay,Yea,Yea,,,Nay,,Nay,,Nay,Yea,Nay,Nay,Nay,Not Voting,,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,,Nay,,1797-03-02,0,,unknown,,,,,
Yea,Nay,Yea,Yea,Yea,Yea,,,Nay,,Yea,,Yea,Nay,Yea,Yea,Yea,Not Voting,,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,,Yea,,1797-03-02,0,,unknown,,,,,
Nay,Yea,Yea,Nay,Yea,Nay,,,Yea,,Yea,,Nay,Not Voting,Yea,Nay,Nay,Not Voting,,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,,Nay,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,,Yea,,1797-03-02,0,,unknown,,,,,
Yea,Nay,Not Voting,Yea,Nay,Nay,,,Nay,,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,,Not Voting,,1797-03-02,0,,unknown,,,,,
Nay,Yea,Yea,Nay,Nay,Yea,,,Yea,,Not Voting,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,,,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Yea,Yea,Nay,Not Voting,,Nay,,1797-03-03,0,,unknown,,,,,
Nay,Yea,Yea,Yea,Not Voting,Not Voting,,,Yea,,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,,Nay,Nay,Nay,Nay,,,Yea,Yea,Not Voting,,Not Voting,,1797-03-03,0,,unknown,,,,,
