A000062,A000161,A000186,B000145,B000176,B000271,B000356,B000384,B000436,B000820,B000823,B001167,B001180,B001208,C000128,C000154,C000220,C000221,C000338,C000506,C000802,C001006,D000036,D000360,D000456,D000516,D000585,E000018,E000112,E000211,F000190,F000356,F000401,G000131,G000267,G000320,G000418,H000385,H000502,H000559,H000598,H000720,H000875,H000953,H000963,I000050,J000013,J000093,J000160,J000195,K000044,K000107,K000144,K000176,K000292,K000335,L000025,L000070,L000224,L000428,M000053,M000086,M000113,M000177,M000199,M000315,M000332,M000582,M000771,M000859,M001014,M001078,M001108,N000023,N000053,O000088,P000100,P000150,P000460,P000575,R000317,R000536,S000021,S000138,S000187,S000505,S000553,S000590,S000701,S000852,S001136,T000254,T000259,W000190,W000269,W000465,W000518,W000666,Y000047,date,isAmendment,requires,result,title
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1956-01-25,0,,Ratified,
Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,1956-02-06,0,,Rejected,s1853
Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Present,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Present,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Present,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,1956-02-06,0,,Rejected,s1853
Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Present,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,1956-02-06,0,,unknown,s1853
Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,1956-02-06,0,,Rejected,s1853
Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,1956-02-06,0,,Rejected,s1853
Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Present,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Yea,1956-02-06,0,,unknown,hr6645
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1956-02-07,0,,Adopted,sres205
Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Not Voting,Nay,Present,Nay,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Present,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Nay,1956-02-08,0,,Rejected,hr7030
Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Present,Yea,Yea,Yea,Yea,,Yea,Yea,Present,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,1956-02-22,0,,Ratified,
Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,1956-02-22,0,,Adopted,sres219
Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,1956-03-08,0,,Agreed To,s3183
Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,1956-03-08,0,,Rejected,s3183
Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,1956-03-08,0,,Agreed To,s3183
Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Yea,1956-03-09,0,,Rejected,s3183
Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,1956-03-09,0,,Rejected,s3183
Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Present,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,,Nay,1956-03-09,0,,unknown,s3183
Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Present,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,1956-03-09,0,,Adopted,s3183
Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,1956-03-12,0,,Rejected,s3183
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1956-03-12,0,,Adopted,s3183
Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1956-03-12,0,,Adopted,s3183
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1956-03-12,0,,Confirmed,
Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,,Yea,1956-03-13,0,,Adopted,s3183
Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Present,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Present,Nay,Nay,,Yea,1956-03-13,0,,Rejected,s3183
Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Present,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,,Yea,1956-03-14,0,,Rejected,s3183
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,1956-03-14,0,,Adopted,s3183
Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Present,Yea,Nay,Present,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Present,Not Voting,Nay,Nay,Nay,Yea,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Present,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,1956-03-14,0,,Rejected,s3183
Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,1956-03-15,0,,Rejected,s3183
Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,,Yea,1956-03-15,0,,Agreed To,s3183
Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,1956-03-15,0,,Rejected,hr833
Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,1956-03-15,0,,Rejected,s3183
