A000197,A000282,B000084,B000474,B000563,B000929,C000369,C000572,D000165,D000296,F000301,F000313,F000344,G000286,G000427,G000526,H000618,H000629,H000841,L000067,L000115,L000120,L000364,L000377,M000155,M000221,M000226,M000976,N000086,O000041,P000026,P000354,R000092,R000448,S000150,T000348,W000202,W000287,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,,Yea,,Not Voting,Yea,Yea,Nay,Nay,Yea,,Nay,1800-04-17,0,,unknown,,,,,
Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,,Yea,,Not Voting,Yea,Yea,Nay,Nay,Yea,,Nay,1800-04-17,0,,unknown,,,,,
Yea,,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,,Nay,,Nay,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,,Yea,1800-04-22,0,,unknown,,,,,
Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,,Yea,,Yea,,Not Voting,Not Voting,Nay,Yea,Yea,Nay,,Nay,1800-04-23,0,,unknown,,,,,
Yea,,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,,Nay,,Nay,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,,Yea,1800-04-23,0,,unknown,,,,,
Nay,,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,,Nay,,Nay,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,1800-04-24,0,,unknown,,,,,
Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,,Yea,,Yea,,Not Voting,Not Voting,Nay,Nay,Yea,Nay,,Nay,1800-04-29,0,,unknown,,,,,
Yea,,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,,Yea,,Yea,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,,Nay,1800-04-29,0,,unknown,,,,,
Yea,,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Yea,Yea,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,,Yea,,Yea,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,,Nay,1800-04-30,0,,unknown,,,,,
Yea,,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,,Yea,,Yea,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,,Nay,1800-04-30,0,,unknown,,,,,
Nay,,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,,Nay,,Nay,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,,Yea,1800-04-30,0,,unknown,,,,,
Nay,,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Nay,,Nay,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,,Yea,1800-05-01,0,,unknown,,,,,
Nay,,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,,Nay,Yea,Nay,,Not Voting,Nay,Yea,Yea,Yea,Yea,,Nay,1800-05-05,0,,unknown,,,,,
Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,Yea,Not Voting,Nay,,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,,Not Voting,Not Voting,Yea,Yea,Nay,Yea,,Yea,1800-05-07,0,,unknown,,,,,
Nay,,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,Nay,Yea,Nay,,Not Voting,Nay,Yea,Yea,Yea,Yea,,Yea,1800-05-08,0,,unknown,,,,,
Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,,Nay,Nay,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,,Not Voting,Nay,Yea,Yea,Yea,Yea,,Yea,1800-05-08,0,,unknown,,,,,
Nay,,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Nay,Yea,Nay,,Not Voting,Nay,Nay,Yea,Yea,Yea,,Yea,1800-05-08,0,,unknown,,,,,
Yea,,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,,Yea,Yea,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Yea,Nay,Yea,,Not Voting,Yea,Nay,Nay,Nay,Nay,,Nay,1800-05-10,0,,unknown,,,,,
Yea,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,,Nay,Nay,Not Voting,,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,,Not Voting,1800-05-14,0,,unknown,,,,,
Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,,Nay,Yea,Not Voting,Nay,Nay,Not Voting,,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Not Voting,,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,1800-05-14,0,,unknown,,,,,
Not Voting,,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,1800-05-14,0,,unknown,,,,,
Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,,Not Voting,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Nay,,Nay,1801-01-08,0,,unknown,,,,,
Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Nay,,Not Voting,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Not Voting,Nay,Nay,,Nay,1801-01-08,0,,unknown,,,,,
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,1801-01-09,0,,unknown,,,,,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,1801-01-12,0,,unknown,,,,,
Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,,Nay,Yea,Yea,,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,,Nay,,Yea,Nay,Not Voting,Nay,Yea,,Yea,Not Voting,Nay,Nay,Nay,Nay,,Nay,1801-01-15,0,,unknown,,,,,
Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,,Yea,,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Yea,Nay,Nay,Yea,,Yea,1801-01-15,0,,unknown,,,,,
Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Nay,,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,1801-01-15,0,,unknown,,,,,
Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,,Nay,,Yea,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,1801-01-15,0,,unknown,,,,,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-01-15,0,,unknown,,,,,
Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,,Nay,,Not Voting,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,1801-01-15,0,,unknown,,,,,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-01-15,0,,unknown,,,,,
Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Yea,,Nay,Nay,Nay,Nay,Nay,,Yea,Not Voting,Yea,Not Voting,Nay,Yea,,Nay,1801-01-15,0,,unknown,,,,,
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Nay,,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,1801-01-15,0,,unknown,,,,,
Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Nay,,Not Voting,Nay,Nay,Nay,Nay,,Nay,Not Voting,Yea,Yea,Nay,Yea,,Yea,1801-01-21,0,,unknown,,,,,
Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,,Nay,,Yea,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Not Voting,Yea,Nay,,Nay,1801-01-22,0,,unknown,,,,,
Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,,Nay,,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-01-23,0,,unknown,,,,,
Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,,Nay,,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-01-23,0,,unknown,,,,,
Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Nay,,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-01-23,0,,unknown,,,,,
Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-01-23,0,,unknown,,,,,
Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,,Yea,,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Nay,Nay,Nay,,Nay,1801-01-23,0,,unknown,,,,,
Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-02-03,0,,unknown,,,,,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Nay,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-02-03,0,,unknown,,,,,
Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,,Yea,,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-02-03,0,,unknown,,,,,
Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Nay,Yea,Nay,,Nay,1801-02-03,0,,unknown,,,,,
Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,,Yea,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Nay,Yea,Not Voting,,Not Voting,1801-02-04,0,,unknown,,,,,
Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,,Yea,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,1801-02-05,0,,unknown,,,,,
Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,1801-02-06,0,,unknown,,,,,
Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,1801-02-06,0,,unknown,,,,,
Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,,Nay,Nay,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,1801-02-06,0,,unknown,,,,,
Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Yea,,Yea,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-02-06,0,,unknown,,,,,
Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,,Not Voting,,Yea,Nay,Not Voting,Nay,Yea,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,,Nay,1801-02-07,0,,unknown,,,,,
Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Not Voting,,Yea,Yea,Nay,Yea,Nay,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-02-07,0,,unknown,,,,,
Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,,Yea,Yea,Nay,,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Nay,,Nay,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,1801-02-10,0,,unknown,,,,,
Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,,Yea,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,,Yea,,Yea,1801-02-20,0,,unknown,,,,,
Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,Nay,Not Voting,Yea,,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,,Yea,Yea,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,,Yea,,Nay,1801-02-23,0,,unknown,,,,,
Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,,Nay,,Nay,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Nay,,Nay,1801-02-26,0,,unknown,,,,,
Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Not Voting,,,Yea,,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Yea,,Yea,,Yea,1801-03-02,0,,unknown,,,,,
Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,,Not Voting,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,,,Nay,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,,Yea,,Yea,1801-03-03,0,,unknown,,,,,
Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,,Not Voting,Yea,Nay,,Not Voting,Yea,Yea,Yea,Yea,Nay,,,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,,Yea,,Yea,1801-03-03,0,,unknown,,,,,
