,Adams,American,Anti Jacksonian,Anti Masonic,Anti-Administration,Democrat,Federalist,Ind. Republican-Democrat,Jackson,Populist,Pro-Administration,Republican,Unionist,Whig,majority
0,0.0,0.0,0.0,0.0,0.13,0.0,0.36,0.0,0.0,0.0,0.35,0.27,0.0,0.0,0.13
1,0.0,0.0,0.0,0.0,0.06,0.0,0.53,0.0,0.0,0.0,0.05,0.34,0.0,0.0,0.07
2,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.14
3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.16
5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.12
6,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.19
7,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.19
8,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.29
9,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.5
10,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.01,0.0,0.0,0.05,0.0,0.0,0.41
11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.51
12,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.43
13,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.05,0.0,0.0,0.12,0.0,0.0,0.48
14,0.14,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.18,0.0,0.0,0.18,0.0,0.0,0.42
15,0.11,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.16,0.0,0.0,0.08,0.0,0.1,0.5
16,0.04,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.11,0.0,0.11,0.51
17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.13,0.0,0.23,0.36
18,0.26,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.22,0.35
19,0.34,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.33,0.22
20,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.25,0.54
21,0.0,0.0,0.02,0.01,0.0,0.33,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.19,0.34
22,0.0,0.0,0.01,0.03,0.0,0.31,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.18,0.39
23,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.27,0.52
24,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.22
25,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.18
26,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.11
27,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.17
28,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.14
29,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.17
30,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07,0.43
31,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.46
32,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.09,0.0,0.0,0.0,0.15,0.0,0.15,0.44
33,0.0,0.25,0.0,0.0,0.0,0.3,0.0,0.23,0.0,0.0,0.0,0.24,0.0,0.0,0.32
34,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.13
35,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.13
36,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.0,0.48
37,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.14
38,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.15
39,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.15
40,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.14
41,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.13
42,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.15
43,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.16
44,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.16
45,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.15
46,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.09
47,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.18
48,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.23
49,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.17
50,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.13
51,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.24
52,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.24
53,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.21
54,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.03,0.0,0.3,0.0,0.0,0.48
55,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.14
56,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.22
57,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.1
58,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.2
59,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.36
60,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.12
61,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.22
62,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.16
63,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.22
64,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.35
65,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.27
66,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.19
67,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.33
68,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.35
69,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.27
70,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.19
71,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.25
72,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.18
73,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.24
74,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.26
75,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.22
76,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.37
77,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.35
78,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.33
79,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.31
